transaction_id,timestamp,customer_id,account_id,transaction_type,transaction_amount,currency,merchant_name,merchant_category,transaction_status,fraud_flag,payment_method,location,foreign_transaction,transaction_fee
384ceb0b-74f0-42ce-b137-36bd7a4dc152,2024-02-14 13:42:10,9bd6f510-6de2-4667-b356-5eefa96564fe,7d66eda7-4325-4d4b-8ced-fc6648d0076c,withdrawal,1603.64,AUD,"Wright, Horton and Powell",retail,completed,True,debit_card,"Ryanfurt, Jamaica",True,43.49
291d79dc-4834-4a4b-aaf2-2a45b525796a,2024-09-13 23:35:47,f1185339-2da0-40c4-aefe-defefde5b7cb,0992dfdf-fc33-4956-a676-447d08e73312,debit,1626.7,AUD,Lee-Hall,dining,completed,False,credit_card,"North Lauren, Vanuatu",True,26.26
f49c0948-4f49-46b3-bacf-99622b90b688,2024-07-27 16:30:45,6f3231d0-2286-4a8a-b3c0-6a36b3a5b6ac,fc823298-8d74-4c85-863b-b6d82a62c326,debit,4262.43,AUD,Patterson-Simmons,utilities,completed,False,wire_transfer,"Jenniferton, Niger",True,14.6
66946700-92d1-4997-9356-5a188916a52b,2024-02-17 06:14:38,5a2141ad-c624-48e9-8df1-eb3db690a3eb,2bd3988e-fbd2-4fb5-ae59-3e997d466e7c,withdrawal,1983.82,AUD,"Small, Lynch and Allen",dining,failed,True,debit_card,"East Kenneth, Fiji",True,18.56
2cc982ce-d797-42ce-923f-ad5624d9fa59,2024-08-20 00:08:50,e0db4439-a67a-40dc-99a7-d475c6016207,c752621e-0136-482a-8ae5-d62195b2a504,credit,4182.03,AUD,Galvan Ltd,retail,pending,False,credit_card,"Vasquezchester, Mongolia",True,41.05
eb4d7619-6e5b-484b-a53b-d865e37a96b8,2024-03-30 05:45:17,5f87285b-2607-40c7-b262-79957efacb67,2cfa0c9b-4cbb-4a0d-a6d8-2da72bd83dd5,debit,701.4,AUD,"Cantu, Blake and Gibbs",utilities,completed,True,credit_card,"Priceland, India",True,46.2
9d43a222-0461-401d-8716-f22613ab7e9e,2024-02-15 22:11:02,54133e01-3ed1-45a8-93be-4ac25a300f10,b20185e3-6109-4d30-8357-d27240abfc2e,debit,4578.2,AUD,"Castro, Downs and Cole",retail,completed,False,credit_card,"Jonesshire, Lesotho",False,8.23
e7a23085-20a6-4f42-ace4-303078beae49,2024-05-01 14:48:05,6c1db4e3-278a-4f8b-b909-b78ba62a8919,c680bdca-8077-443b-8d12-c78d21b179d1,deposit,2297.02,AUD,Garcia-Schmidt,groceries,failed,True,credit_card,"Kaylaland, Honduras",False,20.83
018341db-552a-4a07-adec-107867f7206c,2024-03-12 10:40:47,587f1d3e-712a-4ad0-85a6-4a9022e7873e,f5ec2a75-5160-4a0d-bb91-0f8a22431280,debit,2581.92,AUD,Bowers LLC,utilities,pending,False,credit_card,"Port Alexanderfurt, Bulgaria",False,5.32
b175d4ec-8982-45ee-98f8-88ff64fd6977,2024-05-11 13:35:09,a5d2792c-a4ad-48cf-81fa-3c5ec9446f91,76885c8c-056e-461d-82d0-41d2c169059c,credit,1133.55,AUD,Vasquez-Livingston,groceries,failed,False,credit_card,"Duanestad, Saint Martin",False,43.05
